ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,moldable,0,0,711.5,0,711.5,711.5,completed
1,rigid,0,0,670,0,670,670,completed
2,rigid,71,71,6409,0,6338,6338,completed
3,rigid,143,143,1862,0,1719,1719,completed
4,rigid,214,214,592,0,378,378,completed
5,rigid,286,286,1322,0,1036,1036,completed
6,rigid,357,357,6652,0,6295,6295,completed
7,rigid,429,429,1298,0,869,869,completed
8,rigid,501,501,2608,0,2107,2107,completed
9,rigid,572,572,1041,0,469,469,completed
10,rigid,644,644,2159,0,1515,1515,completed
11,moldable,715,715,939,0,224,224,completed
12,moldable,715,715,951,0,236,236,completed
13,moldable,715,715,925,0,210,210,completed
14,rigid,715,715,1697,0,982,982,completed
15,rigid,787,787,2084,0,1297,1297,completed
16,rigid,859,859,5707,0,4848,4848,completed
17,rigid,930,930,1669,0,739,739,completed
18,rigid,1002,1002,3881,0,2879,2879,completed
19,rigid,1073,1073,1587,0,514,514,completed
20,rigid,1145,1145,5198,0,4053,4053,completed
21,rigid,1217,1217,5612,0,4395,4395,completed
22,rigid,1288,1288,3591,0,2303,2303,completed
23,rigid,1360,1360,3331,0,1971,1971,completed
24,rigid,1431,1431,5233,0,3802,3802,completed
25,rigid,1503,1503,4503,0,3000,3000,completed
26,rigid,1575,1575,3923,0,2348,2348,completed
27,rigid,1646,1646,6199,0,4553,4553,completed
28,moldable,1698,1698,2437,2.27374e-13,739,739,completed
29,rigid,1718,1718,5951,0,4233,4233,completed
30,rigid,1789,1789,2832,0,1043,1043,completed
31,rigid,1861,1861,2961,0,1100,1100,completed
32,rigid,1933,1933,4513,0,2580,2580,completed
33,rigid,2004,2004,5354,0,3350,3350,completed
34,rigid,2076,2076,3591,0,1515,1515,completed
35,rigid,2147,2147,6928,0,4781,4781,completed
36,rigid,2219,2219,3739,0,1520,1520,completed
37,rigid,2291,2291,5168,0,2877,2877,completed
38,rigid,2362,2362,9580,0,7218,7218,completed
39,moldable,2423,2423,3719,0,1296,1296,completed
40,rigid,2434,2434,3042,0,608,608,completed
41,rigid,2505,2505,3013,0,508,508,completed
42,rigid,2577,2577,3192,0,615,615,completed
43,rigid,2649,2649,2970,0,321,321,completed
44,rigid,2720,2720,7422,0,4702,4702,completed
45,rigid,2792,2792,4684,0,1892,1892,completed
46,rigid,2863,2863,7336,0,4473,4473,completed
47,rigid,2935,2935,3804,0,869,869,completed
48,rigid,3007,3007,6224,0,3217,3217,completed
49,rigid,3078,3078,3713,0,635,635,completed
50,rigid,3150,3150,3489,0,339,339,completed
51,rigid,3221,3221,5844,0,2623,2623,completed
52,rigid,3293,3293,7815,0,4522,4522,completed
53,moldable,3359,3359,3661.5,0,302.5,302.5,completed
54,moldable,3359,3359,3665.5,0,306.5,306.5,completed
55,moldable,3359,3359,3639,0,280,280,completed
56,moldable,3359,3359,3606,0,247,247,completed
57,moldable,3359,3359,3653,0,294,294,completed
58,moldable,3359,3359,3690.5,0,331.5,331.5,completed
59,moldable,3359,3359,3699,0,340,340,completed
60,moldable,3359,3359,3662,0,303,303,completed
61,moldable,3359,3359,3663,0,304,304,completed
62,moldable,3359,3359,3687,0,328,328,completed
63,moldable,3359,3359,3676,0,317,317,completed
64,moldable,3359,3359,3630.5,0,271.5,271.5,completed
65,moldable,3359,3359,4115,0,756,756,completed
66,moldable,3360,3360,4097,0,737,737,completed
67,rigid,3365,3365,4167,0,802,802,completed
68,moldable,3382,3382,5110,0,1728,1728,completed
69,moldable,3385,3385,3706.5,0,321.5,321.5,completed
