ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,1423,0,1423,1423,completed
1,rigid,0,0,1136,0,1136,1136,completed
2,rigid,0,0,679,0,679,679,completed
3,rigid,0,0,1495,0,1495,1495,completed
4,rigid,0,0,1256,0,1256,1256,completed
5,rigid,0,0,4391,0,4391,4391,completed
6,rigid,0,0,1451,0,1451,1451,completed
7,rigid,0,0,14690,0,14690,14690,completed
8,rigid,0,0,1345,0,1345,1345,completed
9,rigid,0,0,1769,0,1769,1769,completed
10,rigid,0,0,1748,0,1748,1748,completed
11,rigid,0,0,850,0,850,850,completed
12,rigid,0,0,1340,0,1340,1340,completed
13,rigid,0,0,885,0,885,885,completed
14,rigid,0,0,22809,0,22809,22809,completed
15,rigid,0,0,391,0,391,391,completed
16,rigid,0,0,1319,0,1319,1319,completed
17,rigid,0,0,1863,0,1863,1863,completed
18,rigid,0,0,1646,0,1646,1646,completed
19,rigid,0,0,21074,0,21074,21074,completed
20,rigid,0,0,609,0,609,609,completed
21,rigid,0,0,1187,0,1187,1187,completed
22,rigid,0,0,1146,0,1146,1146,completed
23,rigid,0,0,564,0,564,564,completed
24,rigid,0,0,2550,0,2550,2550,completed
25,rigid,0,0,1133,0,1133,1133,completed
26,rigid,0,0,1543,0,1543,1543,completed
27,rigid,0,0,18858,0,18858,18858,completed
28,rigid,0,0,1674,0,1674,1674,completed
29,rigid,0,0,1676,0,1676,1676,completed
30,rigid,0,0,495,0,495,495,completed
31,rigid,0,0,4938,0,4938,4938,completed
32,rigid,0,0,582,0,582,582,completed
33,rigid,0,0,631,0,631,631,completed
34,rigid,0,0,469,0,469,469,completed
35,rigid,0,0,334,0,334,334,completed
36,rigid,0,0,7144,0,7144,7144,completed
37,rigid,0,0,1936,0,1936,1936,completed
38,rigid,0,0,1711,0,1711,1711,completed
39,rigid,0,0,1294,0,1294,1294,completed
40,rigid,0,0,1359,0,1359,1359,completed
41,rigid,0,0,303,0,303,303,completed
42,rigid,0,0,1536,0,1536,1536,completed
43,rigid,0,0,316,0,316,316,completed
44,rigid,0,0,615,0,615,615,completed
45,rigid,0,0,1853,0,1853,1853,completed
46,rigid,0,0,500,0,500,500,completed
47,rigid,0,0,658,0,658,658,completed
48,rigid,0,0,1675,0,1675,1675,completed
49,rigid,0,0,18362,0,18362,18362,completed
50,rigid,0,0,597,0,597,597,completed
51,rigid,0,0,16823,0,16823,16823,completed
52,rigid,0,0,791,0,791,791,completed
53,rigid,0,0,1405,0,1405,1405,completed
54,rigid,0,0,564,0,564,564,completed
55,rigid,0,0,636,0,636,636,completed
56,rigid,0,0,5064,0,5064,5064,completed
57,rigid,0,0,10904,0,10904,10904,completed
58,rigid,0,0,869,0,869,869,completed
59,rigid,0,0,458,0,458,458,completed
60,rigid,0,0,396,0,396,396,completed
61,rigid,0,0,18354,0,18354,18354,completed
62,rigid,0,0,898,0,898,898,completed
63,rigid,0,0,745,0,745,745,completed
64,rigid,0,0,819,0,819,819,completed
65,rigid,0,0,22097,0,22097,22097,completed
66,rigid,0,0,2666,0,2666,2666,completed
67,rigid,0,0,2935,0,2935,2935,completed
68,rigid,0,0,1453,0,1453,1453,completed
69,rigid,0,0,1087,0,1087,1087,completed
70,rigid,0,0,1274,0,1274,1274,completed
71,rigid,0,0,1531,0,1531,1531,completed
72,rigid,0,0,496,0,496,496,completed
73,rigid,1,1,9928,0,9927,9927,completed
74,rigid,1,1,28989,0,28988,28988,completed
75,rigid,6,6,9687,0,9681,9681,completed
76,rigid,715,715,1163,-1.13687e-13,448,448,completed
77,rigid,715,715,1187,-1.13687e-13,472,472,completed
78,rigid,715,715,1135,-1.13687e-13,420,420,completed
79,rigid,1698,1698,3176,2.27374e-13,1478,1478,completed
80,rigid,2423,2423,5015,0,2592,2592,completed
81,rigid,3359,3359,3964,0,605,605,completed
82,rigid,3359,3359,3972,0,613,613,completed
83,rigid,3359,3359,3919,0,560,560,completed
84,rigid,3359,3359,3853,0,494,494,completed
85,rigid,3359,3359,3947,0,588,588,completed
86,rigid,3359,3359,4022,0,663,663,completed
87,rigid,3359,3359,4039,0,680,680,completed
88,rigid,3359,3359,3965,0,606,606,completed
89,rigid,3359,3359,3967,0,608,608,completed
90,rigid,3359,3359,4015,0,656,656,completed
91,rigid,3359,3359,3993,0,634,634,completed
92,rigid,3359,3359,3902,0,543,543,completed
93,rigid,3359,3359,4871,0,1512,1512,completed
94,rigid,3360,3360,4834,0,1474,1474,completed
95,rigid,3382,3382,6838,0,3456,3456,completed
96,rigid,3385,3385,4028,0,643,643,completed
97,rigid,3385,3385,3999,0,614,614,completed
98,rigid,3385,3385,3933,0,548,548,completed
99,rigid,3385,3385,3989,0,604,604,completed
100,rigid,3385,3385,3976,0,591,591,completed
101,rigid,3385,3385,3974,0,589,589,completed
102,rigid,3385,3385,4042,0,657,657,completed
103,rigid,3385,3385,3986,0,601,601,completed
104,rigid,3385,3385,3955,0,570,570,completed
105,rigid,3385,3385,4007,0,622,622,completed
106,rigid,3385,3385,3995,0,610,610,completed
107,rigid,3385,3385,3979,0,594,594,completed
108,rigid,3393,3393,4117,0,724,724,completed
109,rigid,3393,3393,4114,0,721,721,completed
110,rigid,3393,3393,4076,0,683,683,completed
111,rigid,3393,3393,4101,0,708,708,completed
112,rigid,3393,3393,4124,0,731,731,completed
113,rigid,3393,3393,4093,0,700,700,completed
114,rigid,3393,3393,4077,0,684,684,completed
115,rigid,3393,3393,3906,0,513,513,completed
116,rigid,3393,3393,3988,0,595,595,completed
117,rigid,3393,3393,4087,0,694,694,completed
