ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,moldable,0,0,711.5,0,711.5,711.5,completed
1,moldable,0,0,11434,0,11434,11434,completed
2,moldable,207,207,10045,0,9838,9838,completed
3,moldable,276,276,11708,0,11432,11432,completed
4,moldable,542,542,12003,0,11461,11461,completed
5,moldable,715,715,939,0,224,224,completed
6,moldable,715,715,951,0,236,236,completed
7,moldable,715,715,925,0,210,210,completed
8,moldable,721,721,2071,0,1350,1350,completed
9,moldable,770,770,1098,0,328,328,completed
10,moldable,1053,1053,3267.5,0,2214.5,2214.5,completed
11,moldable,1053,1053,3344,0,2291,2291,completed
12,moldable,1053,1053,3215,0,2162,2162,completed
13,moldable,1053,1053,3593,0,2540,2540,completed
14,moldable,1053,1053,3240.5,0,2187.5,2187.5,completed
15,moldable,1053,1053,3172.5,0,2119.5,2119.5,completed
16,moldable,1053,1053,3039.5,0,1986.5,1986.5,completed
17,moldable,1054,1054,3137,0,2083,2083,completed
18,moldable,1054,1054,3057.5,0,2003.5,2003.5,completed
19,moldable,1054,1054,3034,0,1980,1980,completed
20,moldable,1054,1054,2972.5,0,1918.5,1918.5,completed
21,moldable,1054,1054,2967.5,0,1913.5,1913.5,completed
22,moldable,1054,1054,3680,0,2626,2626,completed
23,moldable,1054,1054,3327.5,0,2273.5,2273.5,completed
24,moldable,1054,1054,3551.5,0,2497.5,2497.5,completed
25,moldable,1054,1054,2936,0,1882,1882,completed
26,moldable,1115,1115,1436,0,321,321,completed
27,moldable,1222,1222,3612.5,0,2390.5,2390.5,completed
28,moldable,1223,1223,3420.5,0,2197.5,2197.5,completed
29,moldable,1223,1223,3621.5,0,2398.5,2398.5,completed
30,moldable,1223,1223,3484,0,2261,2261,completed
31,moldable,1223,1223,3533.5,0,2310.5,2310.5,completed
32,moldable,1225,1225,3730.5,0,2505.5,2505.5,completed
33,moldable,1228,1228,3234,0,2006,2006,completed
34,moldable,1230,1230,3468.5,0,2238.5,2238.5,completed
35,moldable,1231,1231,3408.5,0,2177.5,2177.5,completed
36,moldable,1233,1233,3362.5,0,2129.5,2129.5,completed
37,moldable,1234,1234,3468.5,0,2234.5,2234.5,completed
38,moldable,1234,1234,3093,0,1859,1859,completed
39,moldable,1234,1234,3670.5,0,2436.5,2436.5,completed
