ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,1423,0,1423,1423,completed
1,moldable,0,0,11434,0,11434,11434,completed
2,moldable,207,207,10045,0,9838,9838,completed
3,moldable,276,276,11708,0,11432,11432,completed
4,moldable,542,542,12003,0,11461,11461,completed
5,rigid,715,715,1163,0,448,448,completed
6,rigid,715,715,1187,0,472,472,completed
7,rigid,715,715,1135,0,420,420,completed
8,moldable,721,721,2071,0,1350,1350,completed
9,moldable,770,770,1098,0,328,328,completed
10,moldable,1053,1053,3172.5,0,2119.5,2119.5,completed
11,moldable,1053,1053,3344,0,2291,2291,completed
12,moldable,1053,1053,3593,0,2540,2540,completed
13,moldable,1053,1053,3267.5,0,2214.5,2214.5,completed
14,moldable,1053,1053,3215,0,2162,2162,completed
15,moldable,1053,1053,3039.5,0,1986.5,1986.5,completed
16,moldable,1053,1053,3240.5,0,2187.5,2187.5,completed
17,moldable,1054,1054,3327.5,0,2273.5,2273.5,completed
18,moldable,1054,1054,3680,0,2626,2626,completed
19,moldable,1054,1054,3551.5,0,2497.5,2497.5,completed
20,moldable,1054,1054,2972.5,0,1918.5,1918.5,completed
21,moldable,1054,1054,3034,0,1980,1980,completed
22,moldable,1054,1054,2936,0,1882,1882,completed
23,moldable,1054,1054,2967.5,0,1913.5,1913.5,completed
24,moldable,1054,1054,3137,0,2083,2083,completed
25,moldable,1054,1054,3057.5,0,2003.5,2003.5,completed
26,moldable,1115,1115,1436,0,321,321,completed
27,moldable,1222,1222,3612.5,0,2390.5,2390.5,completed
28,moldable,1223,1223,3484,0,2261,2261,completed
29,moldable,1223,1223,3533.5,0,2310.5,2310.5,completed
30,moldable,1223,1223,3420.5,0,2197.5,2197.5,completed
31,moldable,1223,1223,3621.5,0,2398.5,2398.5,completed
32,moldable,1225,1225,3730.5,0,2505.5,2505.5,completed
33,moldable,1228,1228,3234,0,2006,2006,completed
34,moldable,1230,1230,3468.5,0,2238.5,2238.5,completed
35,moldable,1231,1231,3408.5,0,2177.5,2177.5,completed
36,moldable,1233,1233,3362.5,0,2129.5,2129.5,completed
37,moldable,1234,1234,3717.5,0,2483.5,2483.5,completed
38,moldable,1234,1234,3468.5,0,2234.5,2234.5,completed
39,moldable,1234,1234,3670.5,0,2436.5,2436.5,completed
40,moldable,1234,1234,3552.5,0,2318.5,2318.5,completed
41,moldable,1234,1234,3093,0,1859,1859,completed
42,moldable,1235,1235,3260,0,2025,2025,completed
43,moldable,1516,1516,3080,2.27374e-13,1564,1564,completed
44,moldable,1609,1609,3069,0,1460,1460,completed
45,moldable,1624,1624,2015.5,0,391.5,391.5,completed
46,moldable,1630,1630,3445.5,0,1815.5,1815.5,completed
47,moldable,1630,1630,3866.5,0,2236.5,2236.5,completed
48,moldable,1630,1630,3579.5,0,1949.5,1949.5,completed
49,moldable,1630,1630,3559,0,1929,1929,completed
50,moldable,1630,1630,3935,0,2305,2305,completed
51,moldable,1630,1630,4513.5,0,2883.5,2883.5,completed
52,moldable,1630,2015.5,4439.5,385.5,2424,2809.5,completed
53,moldable,1630,2071,4552,441,2481,2922,completed
54,moldable,1630,2936,4867,1306,1931,3237,completed
55,moldable,1630,2967.5,4774.5,1337.5,1807,3144.5,completed
56,moldable,1630,2972.5,5542,1342.5,2569.5,3912,completed
57,moldable,1630,3034,5154,1404,2120,3524,completed
58,moldable,1630,3039.5,5036,1409.5,1996.5,3406,completed
59,moldable,1630,3057.5,5288.5,1427.5,2231,3658.5,completed
60,moldable,1630,3069,5232,1439,2163,3602,completed
