ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,1423,0,1423,1423,completed
1,rigid,0,0,22868,0,22868,22868,completed
2,rigid,207,207,19883,0,19676,19676,completed
3,rigid,276,276,23140,0,22864,22864,completed
4,rigid,542,542,23464,0,22922,22922,completed
5,rigid,715,715,1163,0,448,448,completed
6,rigid,715,715,1187,0,472,472,completed
7,rigid,715,715,1135,0,420,420,completed
8,rigid,721,721,3421,0,2700,2700,completed
9,rigid,770,770,1426,0,656,656,completed
10,rigid,1053,1053,5635,0,4582,4582,completed
11,rigid,1053,1053,5292,0,4239,4239,completed
12,rigid,1053,1053,6133,0,5080,5080,completed
13,rigid,1053,1053,5377,0,4324,4324,completed
14,rigid,1053,1053,5026,0,3973,3973,completed
15,rigid,1053,1053,5428,0,4375,4375,completed
16,rigid,1053,1053,5482,0,4429,4429,completed
17,rigid,1054,1054,4881,0,3827,3827,completed
18,rigid,1054,1054,5220,0,4166,4166,completed
19,rigid,1054,1054,5601,0,4547,4547,completed
20,rigid,1054,1054,6049,0,4995,4995,completed
21,rigid,1054,1054,4818,0,3764,3764,completed
22,rigid,1054,1054,5014,0,3960,3960,completed
23,rigid,1054,1054,4891,0,3837,3837,completed
24,rigid,1054,1054,5061,0,4007,4007,completed
25,rigid,1054,1054,6306,0,5252,5252,completed
26,rigid,1115,1115,1757,0,642,642,completed
27,rigid,1222,1222,6003,0,4781,4781,completed
28,rigid,1223,1223,5618,0,4395,4395,completed
29,rigid,1223,1223,5745,0,4522,4522,completed
30,rigid,1223,1223,5844,0,4621,4621,completed
31,rigid,1223,1223,6020,0,4797,4797,completed
32,rigid,1225,1225,6236,0,5011,5011,completed
33,rigid,1228,1228,5240,0,4012,4012,completed
34,rigid,1230,1230,5707,0,4477,4477,completed
35,rigid,1231,1231,5586,0,4355,4355,completed
36,rigid,1233,1233,5492,0,4259,4259,completed
37,rigid,1234,1234,5871,0,4637,4637,completed
38,rigid,1234,1234,5703,0,4469,4469,completed
39,rigid,1234,1234,4952,0,3718,3718,completed
40,rigid,1234,1234,6107,0,4873,4873,completed
41,rigid,1234,1234,6201,0,4967,4967,completed
42,rigid,1235,1235,5285,0,4050,4050,completed
43,rigid,1516,1516,4644,0,3128,3128,completed
44,rigid,1609,1609,4529,0,2920,2920,completed
45,rigid,1624,1624,2407,0,783,783,completed
46,rigid,1630,1630,5529,0,3899,3899,completed
47,rigid,1630,1630,6592,0,4962,4962,completed
48,rigid,1630,1630,7397,0,5767,5767,completed
49,rigid,1630,1630,6092,0,4462,4462,completed
50,rigid,1630,1630,6103,0,4473,4473,completed
51,rigid,1630,1630,5623,0,3993,3993,completed
52,rigid,1630,1630,5488,0,3858,3858,completed
53,rigid,1630,1630,5956,0,4326,4326,completed
54,rigid,1630,1630,5244,0,3614,3614,completed
55,rigid,1630,1630,6478,0,4848,4848,completed
56,rigid,1630,1630,5870,0,4240,4240,completed
57,rigid,1630,1630,6240,0,4610,4610,completed
58,rigid,1630,1630,5492,0,3862,3862,completed
59,rigid,1630,1630,6769,0,5139,5139,completed
60,rigid,1630,1630,5261,0,3631,3631,completed
