Time,Node,State,Running jobs,Expected jobs
0,CCPU_100,free,none,none
0,CCPU_1000,free,none,none
0,CCPU_10000,free,none,none
0,CCPU_10001,free,none,none
0,CCPU_10002,free,none,none
0,CCPU_10003,free,none,none
0,CCPU_10004,free,none,none
0,CCPU_10005,free,none,none
0,CCPU_10006,free,none,none
0,CCPU_10007,free,none,none
0,CCPU_10008,free,none,none
0,CCPU_10009,free,none,none
0,CCPU_1001,free,none,none
0,CCPU_10010,free,none,none
0,CCPU_10011,free,none,none
0,CCPU_10012,free,none,none
0,CCPU_10013,free,none,none
0,CCPU_10014,free,none,none
0,CCPU_10015,free,none,none
0,CCPU_10016,free,none,none
0,CCPU_10017,free,none,none
0,CCPU_10018,free,none,none
0,CCPU_10019,free,none,none
0,CCPU_1002,free,none,none
0,CCPU_10020,free,none,none
0,CCPU_10021,free,none,none
0,CCPU_10022,free,none,none
0,CCPU_10023,free,none,none
0,CCPU_10024,free,none,none
0,CCPU_10025,free,none,none
0,CCPU_10026,free,none,none
0,CCPU_10027,free,none,none
0,CCPU_10028,free,none,none
0,CCPU_10029,free,none,none
0,CCPU_1003,free,none,none
0,CCPU_10030,free,none,none
0,CCPU_10031,free,none,none
0,CCPU_10032,free,none,none
0,CCPU_10033,free,none,none
0,CCPU_10034,free,none,none
0,CCPU_10035,free,none,none
0,CCPU_10036,free,none,none
0,CCPU_10037,free,none,none
0,CCPU_10038,free,none,none
0,CCPU_10039,free,none,none
0,CCPU_1004,free,none,none
0,CCPU_10040,free,none,none
0,CCPU_10041,free,none,none
0,CCPU_10042,free,none,none
0,CCPU_10043,free,none,none
0,CCPU_10044,free,none,none
0,CCPU_10045,free,none,none
0,CCPU_10046,free,none,none
0,CCPU_10047,free,none,none
0,CCPU_10048,free,none,none
0,CCPU_10049,free,none,none
0,CCPU_1005,free,none,none
0,CCPU_10050,free,none,none
0,CCPU_10051,free,none,none
0,CCPU_10052,free,none,none
0,CCPU_10053,free,none,none
0,CCPU_10054,free,none,none
0,CCPU_10055,free,none,none
0,CCPU_10056,free,none,none
0,CCPU_10057,free,none,none
0,CCPU_10058,free,none,none
0,CCPU_10059,free,none,none
0,CCPU_1006,free,none,none
0,CCPU_10060,free,none,none
0,CCPU_10061,free,none,none
0,CCPU_10062,free,none,none
0,CCPU_10063,free,none,none
0,CCPU_10064,free,none,none
0,CCPU_10065,free,none,none
0,CCPU_10066,free,none,none
0,CCPU_10067,free,none,none
0,CCPU_10068,free,none,none
0,CCPU_10069,free,none,none
0,CCPU_1007,free,none,none
0,CCPU_10070,free,none,none
0,CCPU_10071,free,none,none
0,CCPU_10072,free,none,none
0,CCPU_10073,free,none,none
0,CCPU_10074,free,none,none
0,CCPU_10075,free,none,none
0,CCPU_10076,free,none,none
0,CCPU_10077,free,none,none
0,CCPU_10078,free,none,none
0,CCPU_10079,free,none,none
0,CCPU_1008,free,none,none
0,CCPU_10080,free,none,none
0,CCPU_10081,free,none,none
0,CCPU_10082,free,none,none
0,CCPU_10083,free,none,none
0,CCPU_10084,free,none,none
0,CCPU_10085,free,none,none
0,CCPU_10086,free,none,none
0,CCPU_10087,free,none,none
0,CCPU_10088,free,none,none
0,CCPU_10089,free,none,none
0,CCPU_1009,free,none,none
0,CCPU_10090,free,none,none
0,CCPU_10091,free,none,none
0,CCPU_10092,free,none,none
0,CCPU_10093,free,none,none
0,CCPU_10094,free,none,none
0,CCPU_10095,free,none,none
0,CCPU_10096,free,none,none
0,CCPU_10097,free,none,none
0,CCPU_10098,free,none,none
0,CCPU_10099,free,none,none
0,CCPU_101,free,none,none
0,CCPU_1010,free,none,none
0,CCPU_10100,free,none,none
0,CCPU_10101,free,none,none
0,CCPU_10102,free,none,none
0,CCPU_10103,free,none,none
0,CCPU_10104,free,none,none
0,CCPU_10105,free,none,none
0,CCPU_10106,free,none,none
0,CCPU_10107,free,none,none
0,CCPU_10108,free,none,none
0,CCPU_10109,free,none,none
0,CCPU_1011,free,none,none
0,CCPU_10110,free,none,none
0,CCPU_10111,free,none,none
0,CCPU_10112,free,none,none
0,CCPU_10113,free,none,none
0,CCPU_10114,free,none,none
0,CCPU_10115,free,none,none
0,CCPU_10116,free,none,none
0,CCPU_10117,free,none,none
0,CCPU_10118,free,none,none
0,CCPU_10119,free,none,none
0,CCPU_1012,free,none,none
0,CCPU_10120,free,none,none
0,CCPU_10121,free,none,none
0,CCPU_10122,free,none,none
0,CCPU_10123,free,none,none
0,CCPU_10124,free,none,none
0,CCPU_10125,free,none,none
0,CCPU_10126,free,none,none
0,CCPU_10127,free,none,none
0,CCPU_10128,free,none,none
0,CCPU_10129,free,none,none
0,CCPU_1013,free,none,none
0,CCPU_10130,free,none,none
0,CCPU_10131,free,none,none
0,CCPU_10132,free,none,none
0,CCPU_10133,free,none,none
0,CCPU_10134,free,none,none
0,CCPU_10135,free,none,none
0,CCPU_10136,free,none,none
0,CCPU_10137,free,none,none
0,CCPU_10138,free,none,none
0,CCPU_10139,free,none,none
0,CCPU_1014,free,none,none
0,CCPU_10140,free,none,none
0,CCPU_10141,free,none,none
0,CCPU_10142,free,none,none
0,CCPU_10143,free,none,none
0,CCPU_10144,free,none,none
0,CCPU_10145,free,none,none
0,CCPU_10146,free,none,none
0,CCPU_10147,free,none,none
0,CCPU_10148,free,none,none
0,CCPU_10149,free,none,none
0,CCPU_1015,free,none,none
0,CCPU_10150,free,none,none
0,CCPU_10151,free,none,none
0,CCPU_10152,free,none,none
0,CCPU_10153,free,none,none
0,CCPU_10154,free,none,none
0,CCPU_10155,free,none,none
0,CCPU_10156,free,none,none
0,CCPU_10157,free,none,none
0,CCPU_10158,free,none,none
0,CCPU_10159,free,none,none
0,CCPU_1016,free,none,none
0,CCPU_10160,free,none,none
0,CCPU_10161,free,none,none
0,CCPU_10162,free,none,none
0,CCPU_10163,free,none,none
0,CCPU_10164,free,none,none
0,CCPU_10165,free,none,none
0,CCPU_10166,free,none,none
0,CCPU_10167,free,none,none
0,CCPU_10168,free,none,none
0,CCPU_10169,free,none,none
0,CCPU_1017,free,none,none
0,CCPU_10170,free,none,none
0,CCPU_10171,free,none,none
0,CCPU_10172,free,none,none
0,CCPU_10173,free,none,none
0,CCPU_10174,free,none,none
0,CCPU_10175,free,none,none
0,CCPU_10176,free,none,none
0,CCPU_10177,free,none,none
0,CCPU_10178,free,none,none
0,CCPU_10179,free,none,none
0,CCPU_1018,free,none,none
0,CCPU_10180,free,none,none
0,CCPU_10181,free,none,none
0,CCPU_10182,free,none,none
0,CCPU_10183,free,none,none
0,CCPU_10184,free,none,none
0,CCPU_10185,free,none,none
0,CCPU_10186,free,none,none
0,CCPU_10187,free,none,none
0,CCPU_10188,free,none,none
0,CCPU_10189,free,none,none
0,CCPU_1019,free,none,none
0,CCPU_10190,free,none,none
0,CCPU_10191,free,none,none
0,CCPU_10192,free,none,none
0,CCPU_10193,free,none,none
0,CCPU_10194,free,none,none
0,CCPU_10195,free,none,none
0,CCPU_10196,free,none,none
0,CCPU_10197,free,none,none
0,CCPU_10198,free,none,none
0,CCPU_10199,free,none,none
0,CCPU_102,free,none,none
0,CCPU_1020,free,none,none
0,CCPU_10200,free,none,none
0,CCPU_10201,free,none,none
0,CCPU_10202,free,none,none
0,CCPU_10203,free,none,none
0,CCPU_10204,free,none,none
0,CCPU_10205,free,none,none
0,CCPU_10206,free,none,none
0,CCPU_10207,free,none,none
0,CCPU_10208,free,none,none
0,CCPU_10209,free,none,none
0,CCPU_1021,free,none,none
0,CCPU_10210,free,none,none
0,CCPU_10211,free,none,none
0,CCPU_10212,free,none,none
0,CCPU_10213,free,none,none
0,CCPU_10214,free,none,none
0,CCPU_10215,free,none,none
0,CCPU_10216,free,none,none
0,CCPU_10217,free,none,none
0,CCPU_10218,free,none,none
0,CCPU_10219,free,none,none
0,CCPU_1022,free,none,none
0,CCPU_10220,free,none,none
0,CCPU_10221,free,none,none
0,CCPU_10222,free,none,none
0,CCPU_10223,free,none,none
0,CCPU_10224,free,none,none
0,CCPU_10225,free,none,none
0,CCPU_10226,free,none,none
0,CCPU_10227,free,none,none
0,CCPU_10228,free,none,none
0,CCPU_10229,free,none,none
0,CCPU_1023,free,none,none
0,CCPU_10230,free,none,none
0,CCPU_10231,free,none,none
0,CCPU_10232,free,none,none
0,CCPU_10233,free,none,none
0,CCPU_10234,free,none,none
0,CCPU_10235,free,none,none
0,CCPU_10236,free,none,none
0,CCPU_10237,free,none,none
0,CCPU_10238,free,none,none
0,CCPU_10239,free,none,none
0,CCPU_1024,free,none,none
0,CCPU_10240,free,none,none
0,CCPU_10241,free,none,none
0,CCPU_10242,free,none,none
0,CCPU_10243,free,none,none
0,CCPU_10244,free,none,none
0,CCPU_10245,free,none,none
0,CCPU_10246,free,none,none
0,CCPU_10247,free,none,none
0,CCPU_10248,free,none,none
0,CCPU_10249,free,none,none
0,CCPU_1025,free,none,none
0,CCPU_10250,free,none,none
0,CCPU_10251,free,none,none
0,CCPU_10252,free,none,none
0,CCPU_10253,free,none,none
0,CCPU_10254,free,none,none
0,CCPU_10255,free,none,none
0,CCPU_10256,free,none,none
0,CCPU_10257,free,none,none
0,CCPU_10258,free,none,none
0,CCPU_10259,free,none,none
0,CCPU_1026,free,none,none
0,CCPU_10260,free,none,none
0,CCPU_10261,free,none,none
0,CCPU_10262,free,none,none
0,CCPU_10263,free,none,none
0,CCPU_10264,free,none,none
0,CCPU_10265,free,none,none
0,CCPU_10266,free,none,none
0,CCPU_10267,free,none,none
0,CCPU_10268,free,none,none
0,CCPU_10269,free,none,none
0,CCPU_1027,free,none,none
0,CCPU_10270,free,none,none
0,CCPU_10271,free,none,none
0,CCPU_10272,free,none,none
0,CCPU_10273,free,none,none
0,CCPU_10274,free,none,none
0,CCPU_10275,free,none,none
0,CCPU_10276,free,none,none
0,CCPU_10277,free,none,none
0,CCPU_10278,free,none,none
