ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,moldable,0,0,711.5,0,711.5,711.5,completed
1,moldable,715,715,939,0,224,224,completed
2,moldable,715,715,951,0,236,236,completed
3,moldable,715,715,925,0,210,210,completed
4,moldable,1698,1698,2437,0,739,739,completed
5,moldable,2423,2423,3719,0,1296,1296,completed
6,moldable,3359,3359,3661.5,0,302.5,302.5,completed
7,moldable,3359,3359,3665.5,0,306.5,306.5,completed
8,moldable,3359,3359,3639,0,280,280,completed
9,moldable,3359,3359,3606,0,247,247,completed
10,moldable,3359,3359,3653,0,294,294,completed
11,moldable,3359,3359,3690.5,0,331.5,331.5,completed
12,moldable,3359,3359,3699,0,340,340,completed
13,moldable,3359,3359,3662,0,303,303,completed
14,moldable,3359,3359,3663,0,304,304,completed
15,moldable,3359,3359,3687,0,328,328,completed
16,moldable,3359,3359,3676,0,317,317,completed
17,moldable,3359,3359,3630.5,0,271.5,271.5,completed
18,moldable,3359,3359,4115,0,756,756,completed
19,moldable,3360,3360,4097,0,737,737,completed
20,moldable,3382,3382,5110,0,1728,1728,completed
21,moldable,3385,3385,3706.5,0,321.5,321.5,completed
22,moldable,3385,3385,3692,0,307,307,completed
23,moldable,3385,3385,3659,0,274,274,completed
24,moldable,3385,3385,3687,0,302,302,completed
25,moldable,3385,3385,3680.5,0,295.5,295.5,completed
26,moldable,3385,3385,3679.5,0,294.5,294.5,completed
27,moldable,3385,3385,3713.5,0,328.5,328.5,completed
28,moldable,3385,3385,3685.5,0,300.5,300.5,completed
29,moldable,3385,3385,3670,0,285,285,completed
30,moldable,3385,3385,3696,0,311,311,completed
31,moldable,3385,3385,3690,0,305,305,completed
32,moldable,3385,3385,3682,0,297,297,completed
33,moldable,3393,3393,3755,0,362,362,completed
34,moldable,3393,3393,3753.5,0,360.5,360.5,completed
35,moldable,3393,3393,3734.5,0,341.5,341.5,completed
36,moldable,3393,3393,3747,0,354,354,completed
37,moldable,3393,3393,3758.5,0,365.5,365.5,completed
38,moldable,3393,3393,3743,0,350,350,completed
39,moldable,3393,3393,3735,0,342,342,completed
40,moldable,3393,3393,3649.5,0,256.5,256.5,completed
41,moldable,3393,3393,3690.5,0,297.5,297.5,completed
42,moldable,3393,3393,3740,0,347,347,completed
43,moldable,3393,3393,3769,0,376,376,completed
44,moldable,3393,3393,3771,0,378,378,completed
45,moldable,3395,3395,3694.5,0,299.5,299.5,completed
46,moldable,3395,3395,3814.5,0,419.5,419.5,completed
47,moldable,3395,3395,3823,0,428,428,completed
48,moldable,3395,3395,3830.5,0,435.5,435.5,completed
49,moldable,3395,3395,3755,0,360,360,completed
50,moldable,3395,3395,3769,0,374,374,completed
51,moldable,3395,3395,3798,0,403,403,completed
52,moldable,3395,3395,3777,0,382,382,completed
53,moldable,3395,3395,3726.5,0,331.5,331.5,completed
54,moldable,3395,3395,3758.5,0,363.5,363.5,completed
55,moldable,3395,3395,3764,0,369,369,completed
56,moldable,3395,3395,3791.5,0,396.5,396.5,completed
57,moldable,3419,3419,3818,0,399,399,completed
58,moldable,3885,3885,4044.5,0,159.5,159.5,completed
59,moldable,3886,3886,4054.5,0,168.5,168.5,completed
60,moldable,3941,3941,5539,0,1598,1598,completed
61,moldable,3945,3945,5418,0,1473,1473,completed
62,moldable,3946,3946,5431.5,0,1485.5,1485.5,completed
63,moldable,3947,3947,5387.5,0,1440.5,1440.5,completed
64,moldable,3951,3951,5386,0,1435,1435,completed
65,moldable,4177,4177,4527.5,0,350.5,350.5,completed
66,moldable,4219,4219,4256,0,37,37,completed
67,moldable,4221,4221,4491.5,0,270.5,270.5,completed
68,moldable,4224,4224,4227,0,3,3,completed
69,moldable,4227,4227,4227.5,0,0.5,0.5,completed
70,moldable,4227,4227,4227.5,0,0.5,0.5,completed
71,moldable,4228,4228,4229,0,1,1,completed
72,moldable,4229,4229,4239,0,10,10,completed
73,moldable,4278,4278,4279,0,1,1,completed
74,moldable,4291,4291,4507,0,216,216,completed
75,moldable,4292,4292,4724,0,432,432,completed
76,moldable,4292,4292,4724,0,432,432,completed
77,moldable,4292,4292,4724,0,432,432,completed
78,moldable,4292,4292,4715,0,423,423,completed
79,moldable,4292,4292,4724,0,432,432,completed
80,moldable,4292,4292,4719,0,427,427,completed
81,moldable,4292,4292,4724,0,432,432,completed
82,moldable,4292,4292,4724,0,432,432,completed
83,moldable,4292,4292,4724,0,432,432,completed
84,moldable,4292,4292,4710.5,0,418.5,418.5,completed
85,moldable,4292,4292,4720,0,428,428,completed
86,moldable,4292,4292,4717,0,425,425,completed
87,moldable,4292,4292,4724,0,432,432,completed
88,moldable,4292,4292,4724,0,432,432,completed
89,moldable,4292,4292,4724,0,432,432,completed
90,moldable,4303,4303,4350.5,0,47.5,47.5,completed
91,moldable,4303,4303,4351.5,0,48.5,48.5,completed
92,moldable,4303,4303,4352,0,49,49,completed
93,moldable,4303,4303,4347.5,0,44.5,44.5,completed
94,moldable,4303,4303,4354,0,51,51,completed
95,moldable,4303,4303,4402,0,99,99,completed
96,moldable,4303,4303,4354,0,51,51,completed
97,moldable,4303,4303,4383,0,80,80,completed
98,moldable,4303,4303,4342.5,0,39.5,39.5,completed
99,moldable,4303,4303,4344.5,0,41.5,41.5,completed
100,moldable,4303,4303,4352,0,49,49,completed
101,moldable,4307,4307,4326,0,19,19,completed
102,moldable,4307,4307,4407,0,100,100,completed
103,moldable,4307,4307,4385,0,78,78,completed
104,moldable,4307,4307,4404.5,0,97.5,97.5,completed
105,moldable,4307,4307,4404.5,0,97.5,97.5,completed
106,moldable,4307,4307,4404.5,0,97.5,97.5,completed
107,moldable,4332,4332,4334,0,2,2,completed
108,moldable,4341,4341,4342.5,0,1.5,1.5,completed
109,moldable,4348,4348,4349.5,0,1.5,1.5,completed
110,moldable,4458,4458,4459.5,0,1.5,1.5,completed
111,moldable,4462,4462,4475.5,0,13.5,13.5,completed
112,moldable,4463,4463,4464,0,1,1,completed
113,moldable,4469,4469,4470.5,0,1.5,1.5,completed
114,moldable,4523,4523,4523.5,0,0.5,0.5,completed
115,moldable,4525,4525,4525.5,0,0.5,0.5,completed
116,moldable,4538,4538,4598.5,0,60.5,60.5,completed
117,moldable,4550,4550,4742,0,192,192,completed
118,moldable,4550,4550,4718,0,168,168,completed
119,moldable,4550,4550,4730.5,0,180.5,180.5,completed
120,moldable,4550,4550,4729.5,0,179.5,179.5,completed
121,moldable,4550,4550,4700,0,150,150,completed
122,moldable,4550,4550,4733.5,0,183.5,183.5,completed
123,moldable,4550,4550,4741,0,191,191,completed
124,moldable,4550,4550,4772,0,222,222,completed
125,moldable,4550,4550,4675.5,0,125.5,125.5,completed
126,moldable,4550,4550,4742.5,0,192.5,192.5,completed
127,moldable,4550,4550,4701.5,0,151.5,151.5,completed
128,moldable,4550,4550,4721,0,171,171,completed
129,moldable,4550,4550,4706.5,0,156.5,156.5,completed
130,moldable,4550,4550,4685,0,135,135,completed
131,moldable,4550,4550,4708,0,158,158,completed
132,moldable,4550,4550,4703.5,0,153.5,153.5,completed
133,moldable,4550,4550,4752.5,0,202.5,202.5,completed
134,moldable,4550,4550,4711.5,0,161.5,161.5,completed
135,moldable,4550,4550,4710.5,0,160.5,160.5,completed
136,moldable,4550,4550,4703.5,0,153.5,153.5,completed
137,moldable,4550,4598.5,5401.35,48.5,802.849,851.349,completed
138,moldable,4550,4675.5,4820,125.5,144.5,270,completed
139,moldable,4550,4685,4887,135,202,337,completed
140,moldable,4550,4700,4863,150,163,313,completed
141,moldable,4550,4701.5,4857,151.5,155.5,307,completed
142,moldable,4550,4703.5,4894,153.5,190.5,344,completed
143,moldable,4550,4703.5,4838,153.5,134.5,288,completed
144,moldable,4550,4706.5,4897.5,156.5,191,347.5,completed
145,moldable,4550,4708,4880.5,158,172.5,330.5,completed
146,moldable,4550,4710.5,4871.5,160.5,161,321.5,completed
147,moldable,4550,4710.5,4899,160.5,188.5,349,completed
148,moldable,4550,4711.5,4869.5,161.5,158,319.5,completed
149,moldable,4550,4715,4916.5,165,201.5,366.5,completed
150,moldable,4550,4717,4915.5,167,198.5,365.5,completed
151,moldable,4550,4718,4891,168,173,341,completed
152,moldable,4550,4719,4919,169,200,369,completed
153,moldable,4550,4720,4898,170,178,348,completed
154,moldable,4550,4721,4881,171,160,331,completed
155,moldable,4550,4724,4878.5,174,154.5,328.5,completed
156,moldable,4550,4724,4863,174,139,313,completed
157,moldable,4550,4724,4887.5,174,163.5,337.5,completed
158,moldable,4550,4724,4877.5,174,153.5,327.5,completed
159,moldable,4550,4724,4857,174,133,307,completed
160,moldable,4550,4724,4944,174,220,394,completed
161,moldable,4550,4724,4899,174,175,349,completed
162,moldable,4550,4724,4876.5,174,152.5,326.5,completed
163,moldable,4550,4724,4904,174,180,354,completed
164,moldable,4550,4724,4869,174,145,319,completed
165,moldable,4550,4729.5,4912,179.5,182.5,362,completed
166,moldable,4550,4730.5,4900.5,180.5,170,350.5,completed
167,moldable,4550,4733.5,4861,183.5,127.5,311,completed
168,moldable,4550,4741,4901.5,191,160.5,351.5,completed
