ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,1423,0,1423,1423,completed
1,rigid,715,715,1163,0,448,448,completed
2,rigid,715,715,1187,0,472,472,completed
3,rigid,715,715,1135,0,420,420,completed
4,rigid,1698,1698,3176,0,1478,1478,completed
5,rigid,2423,2423,5015,0,2592,2592,completed
6,rigid,3359,3359,3964,0,605,605,completed
7,rigid,3359,3359,3972,0,613,613,completed
8,rigid,3359,3359,3919,0,560,560,completed
9,rigid,3359,3359,3853,0,494,494,completed
10,rigid,3359,3359,3947,0,588,588,completed
11,rigid,3359,3359,4022,0,663,663,completed
12,rigid,3359,3359,4039,0,680,680,completed
13,rigid,3359,3359,3965,0,606,606,completed
14,rigid,3359,3359,3967,0,608,608,completed
15,rigid,3359,3359,4015,0,656,656,completed
16,rigid,3359,3359,3993,0,634,634,completed
17,rigid,3359,3359,3902,0,543,543,completed
18,rigid,3359,3359,4871,0,1512,1512,completed
19,rigid,3360,3360,4834,0,1474,1474,completed
20,rigid,3382,3382,6838,0,3456,3456,completed
21,rigid,3385,3385,4028,0,643,643,completed
22,rigid,3385,3385,3999,0,614,614,completed
23,rigid,3385,3385,3933,0,548,548,completed
24,rigid,3385,3385,3989,0,604,604,completed
25,rigid,3385,3385,3976,0,591,591,completed
26,rigid,3385,3385,3974,0,589,589,completed
27,rigid,3385,3385,4042,0,657,657,completed
28,rigid,3385,3385,3986,0,601,601,completed
29,rigid,3385,3385,3955,0,570,570,completed
30,rigid,3385,3385,4007,0,622,622,completed
31,rigid,3385,3385,3995,0,610,610,completed
32,rigid,3385,3385,3979,0,594,594,completed
33,rigid,3393,3393,4117,0,724,724,completed
34,rigid,3393,3393,4114,0,721,721,completed
35,rigid,3393,3393,4076,0,683,683,completed
36,rigid,3393,3393,4101,0,708,708,completed
37,rigid,3393,3393,4124,0,731,731,completed
38,rigid,3393,3393,4093,0,700,700,completed
39,rigid,3393,3393,4077,0,684,684,completed
40,rigid,3393,3393,3906,0,513,513,completed
41,rigid,3393,3393,3988,0,595,595,completed
42,rigid,3393,3393,4087,0,694,694,completed
43,rigid,3393,3393,4145,0,752,752,completed
44,rigid,3393,3393,4149,0,756,756,completed
45,rigid,3395,3395,3994,0,599,599,completed
46,rigid,3395,3395,4234,0,839,839,completed
47,rigid,3395,3395,4251,0,856,856,completed
48,rigid,3395,3395,4266,0,871,871,completed
49,rigid,3395,3395,4115,0,720,720,completed
50,rigid,3395,3395,4143,0,748,748,completed
51,rigid,3395,3395,4201,0,806,806,completed
52,rigid,3395,3395,4159,0,764,764,completed
53,rigid,3395,3395,4058,0,663,663,completed
54,rigid,3395,3395,4122,0,727,727,completed
55,rigid,3395,3395,4133,0,738,738,completed
56,rigid,3395,3395,4188,0,793,793,completed
57,rigid,3419,3419,4217,0,798,798,completed
58,rigid,3885,3885,4204,0,319,319,completed
59,rigid,3886,3886,4223,0,337,337,completed
60,rigid,3941,3941,7137,0,3196,3196,completed
61,rigid,3945,3945,6891,0,2946,2946,completed
62,rigid,3946,3946,6917,0,2971,2971,completed
63,rigid,3947,3947,6828,0,2881,2881,completed
64,rigid,3951,3951,6821,0,2870,2870,completed
65,rigid,4177,4177,4878,0,701,701,completed
66,rigid,4219,4219,4293,0,74,74,completed
67,rigid,4221,4221,4762,0,541,541,completed
68,rigid,4224,4224,4230,0,6,6,completed
69,rigid,4227,4227,4228,0,1,1,completed
