ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status,Nodes
0,Rigid,0,2984,4407,2984,1423,4407,completed,756
1,Rigid,715,3839,4287,3124,448,3572,completed,576
2,Rigid,715,3839,4311,3124,472,3596,completed,576
3,Rigid,715,4288,4708,3573,420,3993,completed,576
4,Rigid,1698,4408,5886,2710,1478,4188,completed,756
5,Rigid,2423,2423,5015,0,2592,2592,completed,32
6,Rigid,3359,3359,3964,0,605,605,completed,32
7,Rigid,3359,3359,3972,0,613,613,completed,32
8,Rigid,3359,3359,3919,0,560,560,completed,32
9,Rigid,3359,3359,3853,0,494,494,completed,32
10,Rigid,3359,3359,3947,0,588,588,completed,32
11,Rigid,3359,3359,4022,0,663,663,completed,32
12,Rigid,3359,3359,4039,0,680,680,completed,32
13,Rigid,3359,3359,3965,0,606,606,completed,32
14,Rigid,3359,3359,3967,0,608,608,completed,32
15,Rigid,3359,3359,4015,0,656,656,completed,32
16,Rigid,3359,3359,3993,0,634,634,completed,32
17,Rigid,3359,3359,3902,0,543,543,completed,32
18,Rigid,3359,3359,4871,0,1512,1512,completed,756
19,Rigid,3360,5887,7361,2527,1474,4001,completed,756
20,Rigid,3382,3382,6838,0,3456,3456,completed,288
21,Rigid,3385,3385,4028,0,643,643,completed,32
22,Rigid,3385,3385,3999,0,614,614,completed,32
23,Rigid,3385,3385,3933,0,548,548,completed,32
24,Rigid,3385,3385,3989,0,604,604,completed,32
25,Rigid,3385,3385,3976,0,591,591,completed,32
26,Rigid,3385,3385,3974,0,589,589,completed,32
27,Rigid,3385,3385,4042,0,657,657,completed,32
28,Rigid,3385,3385,3986,0,601,601,completed,32
29,Rigid,3385,3385,3955,0,570,570,completed,32
30,Rigid,3385,3385,4007,0,622,622,completed,32
31,Rigid,3385,3385,3995,0,610,610,completed,32
32,Rigid,3385,3385,3979,0,594,594,completed,32
33,Rigid,3393,3393,4117,0,724,724,completed,32
34,Rigid,3393,3393,4114,0,721,721,completed,32
35,Rigid,3393,3393,4076,0,683,683,completed,32
36,Rigid,3393,3393,4101,0,708,708,completed,32
37,Rigid,3393,3393,4124,0,731,731,completed,32
38,Rigid,3393,3393,4093,0,700,700,completed,32
39,Rigid,3393,3393,4077,0,684,684,completed,32
40,Rigid,3393,3393,3906,0,513,513,completed,32
41,Rigid,3393,3393,3988,0,595,595,completed,32
42,Rigid,3393,3393,4087,0,694,694,completed,32
43,Rigid,3393,3393,4145,0,752,752,completed,32
44,Rigid,3393,3393,4149,0,756,756,completed,32
45,Rigid,3395,3395,3994,0,599,599,completed,32
46,Rigid,3395,3395,4234,0,839,839,completed,32
47,Rigid,3395,3395,4251,0,856,856,completed,32
48,Rigid,3395,3395,4266,0,871,871,completed,32
49,Rigid,3395,3395,4115,0,720,720,completed,32
50,Rigid,3395,3395,4143,0,748,748,completed,32
51,Rigid,3395,3395,4201,0,806,806,completed,32
52,Rigid,3395,3395,4159,0,764,764,completed,32
53,Rigid,3395,3395,4058,0,663,663,completed,32
54,Rigid,3395,3395,4122,0,727,727,completed,32
55,Rigid,3395,3395,4133,0,738,738,completed,32
56,Rigid,3395,3395,4188,0,793,793,completed,32
57,Rigid,3419,3419,4217,0,798,798,completed,72
58,Rigid,3885,3885,4204,0,319,319,completed,24
59,Rigid,3886,3886,4223,0,337,337,completed,24
60,Rigid,3941,3941,7137,0,3196,3196,completed,252
61,Rigid,3945,3945,6891,0,2946,2946,completed,252
62,Rigid,3946,3946,6917,0,2971,2971,completed,252
63,Rigid,3947,3947,6828,0,2881,2881,completed,252
64,Rigid,3951,3951,6821,0,2870,2870,completed,252
65,Rigid,4177,4177,4878,0,701,701,completed,72
66,Rigid,4219,4219,4293,0,74,74,completed,4
67,Rigid,4221,4221,4762,0,541,541,completed,72
68,Rigid,4224,4224,4230,0,6,6,completed,36
69,Rigid,4227,4227,4228,0,1,1,completed,36
70,Rigid,4227,4227,4228,0,1,1,completed,36
71,Rigid,4228,4228,4230,0,2,2,completed,36
72,Rigid,4229,4229,4249,0,20,20,completed,36
73,Rigid,4278,4278,4280,0,2,2,completed,144
74,Rigid,4291,4291,4723,0,432,432,completed,36
75,Rigid,4292,4292,5156,0,864,864,completed,144
76,Rigid,4292,4292,5156,0,864,864,completed,144
77,Rigid,4292,4292,5156,0,864,864,completed,144
78,Rigid,4292,4292,5138,0,846,846,completed,144
79,Rigid,4292,4292,5156,0,864,864,completed,144
80,Rigid,4292,4292,5146,0,854,854,completed,144
81,Rigid,4292,4292,5156,0,864,864,completed,144
82,Rigid,4292,4292,5156,0,864,864,completed,144
83,Rigid,4292,4292,5156,0,864,864,completed,144
84,Rigid,4292,4292,5129,0,837,837,completed,144
85,Rigid,4292,4292,5148,0,856,856,completed,144
86,Rigid,4292,4292,5142,0,850,850,completed,144
87,Rigid,4292,4292,5156,0,864,864,completed,144
88,Rigid,4292,4292,5156,0,864,864,completed,144
89,Rigid,4292,4292,5156,0,864,864,completed,144
90,Rigid,4303,4303,4398,0,95,95,completed,144
91,Rigid,4303,4303,4400,0,97,97,completed,144
92,Rigid,4303,4304,4402,1,98,99,completed,144
93,Rigid,4303,4304,4393,1,89,90,completed,144
94,Rigid,4303,4303,4405,0,102,102,completed,144
95,Rigid,4303,4303,4501,0,198,198,completed,144
96,Rigid,4303,4304,4406,1,102,103,completed,144
97,Rigid,4303,4304,4464,1,160,161,completed,144
98,Rigid,4303,4304,4383,1,79,80,completed,144
99,Rigid,4303,4304,4387,1,83,84,completed,144
100,Rigid,4303,4304,4402,1,98,99,completed,144
101,Rigid,4307,4468,4506,161,38,199,completed,144
102,Rigid,4307,4307,4507,0,200,200,completed,144
103,Rigid,4307,4311,4467,4,156,160,completed,144
104,Rigid,4307,4311,4506,4,195,199,completed,144
105,Rigid,4307,4311,4506,4,195,199,completed,144
106,Rigid,4307,4311,4506,4,195,199,completed,144
107,Rigid,4332,4332,4336,0,4,4,completed,36
108,Rigid,4341,4341,4344,0,3,3,completed,36
109,Rigid,4348,4348,4351,0,3,3,completed,36
110,Rigid,4458,4458,4461,0,3,3,completed,36
111,Rigid,4462,4462,4489,0,27,27,completed,144
112,Rigid,4463,4463,4465,0,2,2,completed,36
113,Rigid,4469,4469,4472,0,3,3,completed,36
114,Rigid,4523,4523,4524,0,1,1,completed,36
115,Rigid,4525,4525,4526,0,1,1,completed,36
116,Rigid,4538,4538,4659,0,121,121,completed,36
117,Rigid,4550,4550,4934,0,384,384,completed,144
118,Rigid,4550,4550,4886,0,336,336,completed,144
119,Rigid,4550,4550,4911,0,361,361,completed,144
120,Rigid,4550,4550,4909,0,359,359,completed,144
121,Rigid,4550,4550,4850,0,300,300,completed,144
122,Rigid,4550,4550,4917,0,367,367,completed,144
123,Rigid,4550,4550,4932,0,382,382,completed,144
124,Rigid,4550,4550,4994,0,444,444,completed,144
125,Rigid,4550,4550,4801,0,251,251,completed,144
126,Rigid,4550,4550,4935,0,385,385,completed,144
