Time,Job,Node,Task,Duration
121,0,CCPU_100,Run,60
121,0,CCPU_101,Run,60
121,0,CCPU_102,Run,60
121,0,CCPU_103,Run,60
121,0,CCPU_104,Run,60
121,0,CCPU_105,Run,60
121,0,CCPU_106,Run,60
121,0,CCPU_107,Run,60
121,0,CCPU_108,Run,60
121,0,CCPU_109,Run,60
121,0,CCPU_110,Run,60
121,0,CCPU_111,Run,60
121,0,CCPU_112,Run,60
121,0,CCPU_113,Run,60
121,0,CCPU_114,Run,60
121,0,CCPU_115,Run,60
141,1,CCPU_116,Run,60
141,1,CCPU_117,Run,60
141,1,CCPU_118,Run,60
141,1,CCPU_119,Run,60
141,1,CCPU_120,Run,60
141,1,CCPU_121,Run,60
141,1,CCPU_122,Run,60
141,1,CCPU_123,Run,60
141,1,CCPU_124,Run,60
141,1,CCPU_125,Run,60
141,1,CCPU_126,Run,60
141,1,CCPU_127,Run,60
141,1,CCPU_128,Run,60
141,1,CCPU_129,Run,60
181,0,CCPU_100,Run,60
181,0,CCPU_101,Run,60
181,0,CCPU_102,Run,60
181,0,CCPU_103,Run,60
181,0,CCPU_104,Run,60
181,0,CCPU_105,Run,60
181,0,CCPU_106,Run,60
181,0,CCPU_107,Run,60
181,0,CCPU_108,Run,60
181,0,CCPU_109,Run,60
181,0,CCPU_110,Run,60
181,0,CCPU_111,Run,60
181,0,CCPU_112,Run,60
181,0,CCPU_113,Run,60
181,0,CCPU_114,Run,60
181,0,CCPU_115,Run,60
201,1,CCPU_116,Run,60
201,1,CCPU_117,Run,60
201,1,CCPU_118,Run,60
201,1,CCPU_119,Run,60
201,1,CCPU_120,Run,60
201,1,CCPU_121,Run,60
201,1,CCPU_122,Run,60
201,1,CCPU_123,Run,60
201,1,CCPU_124,Run,60
201,1,CCPU_125,Run,60
201,1,CCPU_126,Run,60
201,1,CCPU_127,Run,60
201,1,CCPU_128,Run,60
201,1,CCPU_129,Run,60
219,2,CCPU_130,Run,60
219,2,CCPU_131,Run,60
219,2,CCPU_132,Run,60
219,2,CCPU_133,Run,60
219,2,CCPU_134,Run,60
219,2,CCPU_135,Run,60
219,2,CCPU_136,Run,60
