JobID,NCPUS,NNodes,Submit,Start,End,ElapsedRaw,State
5312341,756,21,1703688808,1703987306,1704129658,142352,COMPLETED
5312508,576,16,1703760335,1704072737,1704117631,44894,COMPLETED
5312509,576,16,1703760335,1704072737,1704119994,47257,COMPLETED
5312510,576,16,1703760335,1704117633,1704159709,42076,COMPLETED
5312766,756,21,1703858644,1704129660,1704277541,147881,COMPLETED
5312850_12,32,1,1703931144,1703931145,1704190353,259208,TIMEOUT
5313029_10,32,1,1704024773,1704024773,1704085356,60583,COMPLETED
5313029_11,32,1,1704024773,1704024773,1704086119,61346,COMPLETED
5313029_12,32,1,1704024773,1704024773,1704080850,56077,COMPLETED
5313029_1,32,1,1704024773,1704024773,1704074265,49492,COMPLETED
5313029_2,32,1,1704024773,1704024773,1704083640,58867,COMPLETED
5313029_3,32,1,1704024773,1704024773,1704091104,66331,COMPLETED
5313029_4,32,1,1704024773,1704024773,1704092819,68046,COMPLETED
5313029_5,32,1,1704024773,1704024773,1704085377,60604,COMPLETED
5313029_6,32,1,1704024773,1704024773,1704085613,60840,COMPLETED
5313029_7,32,1,1704024773,1704024773,1704090456,65683,COMPLETED
5313029_8,32,1,1704024773,1704024773,1704088174,63401,COMPLETED
5313029_9,32,1,1704024773,1704024773,1704079101,54328,COMPLETED
5313041,756,21,1704024797,1704024800,1704176064,151264,COMPLETED
5313042,756,21,1704024820,1704277542,1704424954,147412,COMPLETED
5313047,288,8,1704027086,1704027086,1704372711,345625,TIMEOUT
5313048_10,32,1,1704027351,1704027352,1704091702,64350,COMPLETED
5313048_11,32,1,1704027351,1704027352,1704088778,61426,COMPLETED
5313048_12,32,1,1704027351,1704027352,1704082213,54861,COMPLETED
5313048_1,32,1,1704027351,1704027352,1704087838,60486,COMPLETED
5313048_2,32,1,1704027351,1704027352,1704086479,59127,COMPLETED
5313048_3,32,1,1704027351,1704027352,1704086258,58906,COMPLETED
5313048_4,32,1,1704027351,1704027352,1704093056,65704,COMPLETED
5313048_5,32,1,1704027351,1704027352,1704087484,60132,COMPLETED
5313048_6,32,1,1704027351,1704027352,1704084358,57006,COMPLETED
5313048_7,32,1,1704027351,1704027352,1704089620,62268,COMPLETED
5313048_8,32,1,1704027351,1704027352,1704088413,61061,COMPLETED
5313048_9,32,1,1704027351,1704027352,1704086765,59413,COMPLETED
5313062_10,32,1,1704028174,1704028175,1704100575,72400,COMPLETED
5313062_11,32,1,1704028174,1704028175,1704100316,72141,COMPLETED
5313062_12,32,1,1704028174,1704028175,1704096523,68348,COMPLETED
5313062_1,32,1,1704028174,1704028175,1704099023,70848,COMPLETED
5313062_2,32,1,1704028174,1704028175,1704101297,73122,COMPLETED
5313062_3,32,1,1704028174,1704028175,1704098209,70034,COMPLETED
5313062_4,32,1,1704028174,1704028175,1704096595,68420,COMPLETED
5313062_5,32,1,1704028174,1704028175,1704079529,51354,COMPLETED
5313062_6,32,1,1704028174,1704028175,1704087706,59531,COMPLETED
5313062_7,32,1,1704028174,1704028175,1704097666,69491,COMPLETED
5313062_8,32,1,1704028174,1704028175,1704103439,75264,COMPLETED
5313062_9,32,1,1704028174,1704028175,1704103811,75636,COMPLETED
5313077_10,32,1,1704028381,1704028381,1704088374,59993,COMPLETED
5313077_11,32,1,1704028381,1704028381,1704112341,83960,COMPLETED
5313077_12,32,1,1704028381,1704028381,1704114053,85672,COMPLETED
5313077_1,32,1,1704028381,1704028381,1704115500,87119,COMPLETED
5313077_2,32,1,1704028381,1704028381,1704100414,72033,COMPLETED
5313077_3,32,1,1704028381,1704028381,1704103199,74818,COMPLETED
5313077_4,32,1,1704028381,1704028381,1704109054,80673,COMPLETED
5313077_5,32,1,1704028381,1704028381,1704104813,76432,COMPLETED
5313077_6,32,1,1704028381,1704028381,1704094775,66394,COMPLETED
5313077_7,32,1,1704028381,1704028381,1704101091,72710,COMPLETED
5313077_8,32,1,1704028381,1704028381,1704102270,73889,COMPLETED
5313077_9,32,1,1704028381,1704028381,1704107730,79349,COMPLETED
5313092,72,2,1704030738,1704030740,1704110578,79838,FAILED
5313144,24,1,1704077369,1704077370,1704109356,31986,COMPLETED
5313145,24,1,1704077464,1704077465,1704111251,33786,COMPLETED
5313146,252,7,1704082911,1704082911,1704402525,319614,FAILED
5313147,252,7,1704083366,1704083366,1704378008,294642,FAILED
5313148,252,7,1704083503,1704083503,1704380672,297169,FAILED
5313149,252,7,1704083567,1704083567,1704371748,288181,FAILED
5313150,252,7,1704083923,1704083923,1704370968,287045,FAILED
5313151,72,2,1704106563,1704106563,1704176760,70197,COMPLETED
5313152,4,1,1704110767,1704110768,1704118214,7446,FAILED
5313153,72,2,1704110912,1704110913,1704165072,54159,FAILED
5313154,36,1,1704111276,1704111277,1704111903,626,COMPLETED
5313155,36,1,1704111527,1704111527,1704111662,135,CANCELLED by 7504
5313156,36,1,1704111531,1704111532,1704111660,128,CANCELLED by 7504
5313157,36,1,1704111681,1704111681,1704111905,224,FAILED
5313158,36,1,1704111795,1704111796,1704113818,2022,COMPLETED
5313160,144,4,1704116684,1704116684,1704116962,278,CANCELLED by 13261
5313161,36,1,1704117939,1704117940,1704161162,43222,TIMEOUT
5313162,144,4,1704118028,1704118028,1704204454,86426,TIMEOUT
5313163,144,4,1704118028,1704118028,1704204454,86426,TIMEOUT
5313164,144,4,1704118028,1704118028,1704204454,86426,TIMEOUT
5313165,144,4,1704118028,1704118032,1704202666,84634,FAILED
5313166,144,4,1704118028,1704118032,1704204454,86422,TIMEOUT
5313167,144,4,1704118028,1704118032,1704203518,85486,FAILED
5313168,144,4,1704118028,1704118032,1704204454,86422,TIMEOUT
5313169,144,4,1704118028,1704118032,1704204454,86422,TIMEOUT
5313170,144,4,1704118028,1704118032,1704204454,86422,TIMEOUT
5313171,144,4,1704118089,1704118090,1704201881,83791,FAILED
5313172,144,4,1704118089,1704118090,1704203749,85659,FAILED
5313173,144,4,1704118089,1704118090,1704203162,85072,FAILED
5313174,144,4,1704118089,1704118090,1704204514,86424,TIMEOUT
5313175,144,4,1704118091,1704118094,1704204514,86420,TIMEOUT
5313176,144,4,1704118091,1704118094,1704204512,86418,FAILED
5313177,144,4,1704119204,1704119205,1704128777,9572,FAILED
5313179,144,4,1704119205,1704119205,1704128916,9711,FAILED
5313182,144,4,1704119205,1704119209,1704129080,9871,FAILED
5313183,144,4,1704119205,1704119209,1704128176,8967,FAILED
5313178,144,4,1704119205,1704119205,1704129465,10260,FAILED
5313180,144,4,1704119205,1704119205,1704139088,19883,CANCELLED by 10408
5313181,144,4,1704119205,1704119209,1704129444,10235,FAILED
5313184,144,4,1704119205,1704119209,1704135286,16077,FAILED
5313185,144,4,1704119206,1704119209,1704127115,7906,FAILED
5313186,144,4,1704119206,1704119209,1704127570,8361,FAILED
5313187,144,4,1704119206,1704119209,1704129060,9851,FAILED
5313194,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313195,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313196,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313197,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313198,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313199,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313200,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313201,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313202,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313203,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313204,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313205,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313206,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313207,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313208,144,4,1704119530,None,1704139565,0,CANCELLED by 10408
5313193,144,4,1704119530,1704135683,1704139565,3882,CANCELLED by 10408
5313188,144,4,1704119530,1704119530,1704139565,20035,CANCELLED by 10408
5313189,144,4,1704119530,1704119995,1704135682,15687,FAILED
5313190,144,4,1704119530,1704119995,1704139565,19570,CANCELLED by 10408
